question,doc_id
What are the main types of non‑small cell lung cancer and how are they identified under a microscope?,5e34bcbaa8
"Can smoking increase my risk of developing non‑small cell lung cancer, and what symptoms should prompt me to see a doctor?",5e34bcbaa8
How is non‑small cell lung cancer diagnosed and staged using lung tests?,5e34bcbaa8
"Why is non‑small cell lung cancer generally not curable with current treatments, and what options are available for patients?",5e34bcbaa8
"Are there clinical trials for non‑small cell lung cancer, and how can I find information about enrolling in one?",5e34bcbaa8
What lifestyle habits increase my chances of developing non‑small cell lung cancer?,c2845efbbc
Can secondhand smoke exposure or workplace chemicals contribute to my risk of getting lung cancer?,c2845efbbc
How does starting to smoke at a young age affect my likelihood of non‑small cell lung cancer later on?,c2845efbbc
Are older adults automatically at higher risk for lung cancer even if they never smoked?,c2845efbbc
"If I have a family history of lung cancer and also work around asbestos, does that significantly raise my risk?",c2845efbbc
I've been experiencing a persistent cough and getting short of breath—could these be indicators of non‑small cell lung cancer?,d1bc99107d
What clinical signs and symptoms should be assessed when evaluating a patient for non‑small cell lung carcinoma?,d1bc99107d
"Are there any atypical manifestations, such as a hoarse voice or swelling of facial/neck veins, that might suggest this form of lung cancer?",d1bc99107d
Is unintended weight loss considered a common symptom in individuals diagnosed with non‑small cell lung cancer?,d1bc99107d
"What respiratory and systemic manifestations might appear in someone with non‑small cell lung cancer, even though they can sometimes be absent?",d1bc99107d
What kinds of exams and scans are used to confirm that someone has non‑small cell lung cancer?,abdbe99dd2
"Which tissue‑sampling techniques, like needle biopsies or bronchoscopy, are employed to diagnose NSCLC?",abdbe99dd2
"If a doctor suspects lung cancer, what laboratory tests (e.g., sputum analysis or fluid studies) might be ordered?",abdbe99dd2
"How do imaging studies such as chest X‑ray, CT scan, or thoracoscopy help determine the stage of non‑small cell lung cancer?",abdbe99dd2
What is the purpose of immunohistochemistry in identifying non‑small cell lung cancer after a biopsy?,abdbe99dd2
What are the main elements that doctors consider when estimating a patient’s chance of recovery from non‑small cell lung cancer?,597a81526a
In what ways does the extent of disease spread influence the outlook for someone diagnosed with NSCLC?,597a81526a
"How do specific gene changes, such as alterations in EGFR or ALK, affect treatment options and prognosis for non‑small cell lung cancer?",597a81526a
Can the presence of symptoms like persistent cough or breathing difficulty change the predicted survival for NSCLC patients?,597a81526a
Why is a patient’s overall health status important when predicting the prognosis and deciding therapy for non‑small cell lung cancer?,597a81526a
I’m newly diagnosed with non‑small cell lung cancer—what kinds of clinical studies are currently testing new therapies for this disease?,4979172719
Can you describe what chemoprevention entails for lung cancer and whether any trials are looking at it for non‑small cell lung cancer?,4979172719
Are there ongoing trials that use radiosensitizers—agents that make tumors more responsive to radiation—specifically for non‑small cell lung cancer?,4979172719
"If my non‑small cell lung cancer isn’t responding to standard treatment, what experimental treatment combinations are being evaluated in current trials?",4979172719
